"date","AU_(Other)","JP_(Other)","NZ_(Other)","AU_Affiliates","JP_Affiliates","NZ_Affiliates","AU_Direct","JP_Direct","NZ_Direct","AU_Display","JP_Display","NZ_Display","AU_Email","JP_Email","NZ_Email","JP_Organic Search","NZ_Organic Search","JP_Paid Search","NZ_Paid Search","AU_Paid Social","JP_Paid Social","AU_Referral","JP_Referral","NZ_Referral","AU_Social","JP_Social","NZ_Social","NZ_Paid Social","AU_Other Advertising","JP_Other Advertising","NZ_Other Advertising","AU_SEM"
2020-09-18,0,423.085201,0,3066.47908,593.453673,0,5611.420881,58383.211766,354.348235,0,9957.176062,0,2645.538624,41986.889992,339.598754,56656.474765,695.241868,36790.793612,756.851389,2651.261316,0,12631.805442,28124.484429,132.066182,627.888163,11458.898292,14.149948,0,0,0,0,23220.894139
2020-09-19,0,249.017619,0,3618.843623,0,230.194171,4781.09647,15715.499936,0,0,6199.15043,0,2460.2836,18318.143967,235.047679,30133.746782,814.664288,22684.097207,822.978537,2356.632253,0,10303.924627,10249.568915,1463.658152,620.545531,3361.25253,270.13963,0,0,0,0,20591.58157
2020-09-20,0,0,0,5692.813993,0,0,4997.703897,10549.707306,906.388995,0,6074.312746,0,1489.708957,14784.307108,235.548494,22137.012223,2130.631771,23583.812048,531.33784,368.615464,131.573303,13949.337993,7646.81605,300.188958,277.385491,2985.810979,209.48925,0,0,0,0,33003.060601
2020-09-21,0,362.080161,0,4294.617012,0,0,7039.720102,9793.120543,465.005218,0,4263.625695,0,1827.610448,8527.764746,64.978895,21005.60602,2344.273619,26237.429445,639.974429,693.390864,126.310371,9879.681208,7570.077157,1380.124661,262.758643,748.494204,0,0,0,0,0,28913.959817
2020-09-22,0,240.22642,0,4390.001217,0,0,5959.77898,8539.345321,223.98712,0,5911.802004,0,5583.883244,12005.85655,259.758197,22606.188431,1041.555827,23787.766419,1270.897874,1040.384905,273.702319,10198.128243,6263.195182,1650.818508,160.574727,679.822054,215.9637,0,0,0,0,29483.118596
2020-09-23,0,102.619115,0,3407.558567,0,0,5291.666114,32396.828495,544.736518,0,7207.310783,0,1838.860301,35755.555616,536.583298,26084.303565,1255.781187,25771.433769,1072.775279,536.018589,0,11227.42793,16284.307797,1608.090073,353.341327,2448.521219,152.79195,0,0,0,0,23259.036719
2020-09-24,0,79.584205,0,6139.183152,0,197.06326,6015.298756,15499.155483,324.169062,0,6962.010767,0,2359.536234,18388.263879,124.478292,23480.752325,1500.144596,23699.094664,1295.658619,141.936588,0,11543.781166,10608.418245,452.588619,567.74635,1270.105072,379.578275,0,0,0,0,20232.592518
2020-09-25,0,98.234324,0,3374.09081,0,0,5629.391108,11416.314837,430.064412,0,5151.754885,0,3601.158199,11813.936137,117.693296,20679.514137,577.753443,20546.252478,639.187745,916.017647,61.561065,10972.03009,6292.671669,98.077746,140.925792,1789.159867,13.730884,0,0,0,0,19020.238296
2020-09-26,0,197.244383,0,3935.623828,133.413658,183.07846,4451.83932,8710.654935,311.807137,0,4922.927685,0,1543.034601,10115.744112,0,21655.464897,1276.191965,25663.845433,906.598904,70.340137,133.484934,8137.12921,7270.354371,160.992148,0,1501.319938,63.423609,0,0,0,0,19455.309429
2020-09-27,0,25.013142,0,2901.543246,158.520792,0,5647.879303,11057.463427,289.503126,0,7459.11334,0,1920.765193,13704.842746,98.247667,22681.756028,2145.780863,26340.029593,629.460006,1118.327184,120.584192,7671.666292,7829.408807,174.225862,846.750809,1986.499025,0,0,0,0,0,23967.265817
2020-09-28,0,39.604142,0,3206.630719,135.487856,347.141757,5255.004542,22775.053649,403.470419,0,5451.434423,0,2152.419947,22123.878218,402.487942,19752.58586,1522.183855,18953.500421,1034.220438,398.053444,117.770213,10095.596895,12850.104026,1590.95722,372.748729,2057.255179,0,0,0,0,0,26669.955241
2020-09-29,0,135.69794,0,4018.941706,0,190.08591,7233.151199,13059.491381,670.964577,0,5752.682813,0,4811.983106,18302.753173,100.901498,18010.978114,1026.334145,20690.041348,276.553541,161.758882,51.01355,10386.092611,9206.592779,457.271143,245.859897,2044.226563,340.698438,0,0,0,0,26063.130646
2020-09-30,0,296.090935,0,2338.713374,0,0,5900.884481,11264.156822,214.782321,0,8185.275066,0,3082.379881,15777.073884,451.054591,23494.883,1481.338677,24844.118676,627.220508,84.781711,530.173328,9469.211621,8352.811713,922.574855,377.516597,1342.261888,361.485878,0,0,0,0,24106.000459
2020-10-01,0,78.150779,0,3469.034749,0,0,4573.604098,8270.462638,177.887198,0,3756.169208,0,5077.828448,10978.217052,444.445303,17167.672668,343.960802,18034.333089,1909.480538,212.724725,66.688664,12888.500137,6021.81566,653.359464,41.306014,1367.696362,0,0,0,0,0,23805.715273
2020-10-02,0,1943.398798,0,4103.331467,0,250.905778,5521.778462,6783.530263,46.219485,0,7066.34039,0,5007.830451,8772.708066,594.286435,14043.923799,733.382683,18560.756015,662.879433,71.84046,135.46135,9115.789292,6339.258286,561.628085,617.242909,1128.428306,119.578244,0,0,0,0,18942.896648
2020-10-03,0,4980.522929,0,5481.892636,38.662699,129.99124,4235.211469,9390.042523,285.659138,0,3484.861023,0,2493.869535,6706.906033,500.037119,18002.523047,763.034595,19651.382183,459.51338,143.134813,128.341692,6268.60801,5368.425545,414.06474,185.092465,1405.276983,0,0,0,0,0,20516.236296
2020-10-04,0,2802.945502,0,3880.951974,40.752574,0,5376.867298,9074.57423,592.641357,0,5385.890195,0,1931.691174,12991.888797,189.042839,21868.458339,745.814573,27294.901456,1355.763262,629.723578,0,8283.817883,7328.971009,599.589276,0,723.067687,0,0,0,0,0,22902.389964
2020-10-05,0,799.345055,0,5526.281065,0,0,7801.620368,8315.097954,235.474414,0,3282.862194,0,2497.966048,7703.767581,310.428242,17479.401479,813.547516,18924.833929,509.420704,157.464909,0,9192.286017,4751.738295,740.251961,155.968992,1130.177976,159.19397,0,0,0,0,25786.195746
2020-10-06,0,5520.097695,0,3263.925973,0,201.815483,4260.89048,6279.605294,573.242044,0,4252.902248,0,2912.827692,5599.148736,195.189192,15973.521237,1502.890503,18065.207385,1112.462368,165.203023,66.618902,10074.708412,4586.05429,1312.887285,0,1320.281884,6.644401,0,0,0,0,25716.868332
